"Timestamp","name","activity","lat","lon","weight","brood","mean_fanning","humidity","flight_noise","temperature"
2017-06-23 10:00:00,"beehive_54630",60886,55.007339,-1.642851,17.603912553,35.582418022,526,39.43880374,356,19.384615741
2017-06-23 11:00:00,"beehive_54620",40019,55.01031,-1.62681,-3.475788118,20.190476551,NA,38.56322472,101,19.787546146
2017-06-23 11:00:00,"beehive_54630",60926,55.007339,-1.642851,17.658047895,35.824176265,372,36.08744956,274,18.901099255
2017-06-23 12:00:00,"beehive_54630",60797,55.007339,-1.642851,17.624965186,35.743590184,365,35.06090864,276,19.787546146
2017-06-23 14:00:00,"beehive_54620",61698,55.01031,-1.62681,45.315192619,32.520146944,NA,34.12494486,456,19.948718308
2017-06-23 14:00:00,"beehive_54630",61443,55.007339,-1.642851,17.655040376,35.501831941,401,34.75898484,307,19.465201822
2017-06-23 15:00:00,"beehive_54620",61555,55.01031,-1.62681,45.224967049,32.600733025,NA,36.69129716,413,19.062271417
2017-06-23 15:00:00,"beehive_54630",61712,55.007339,-1.642851,17.688123085,35.663004103,400,37.62726094,258,18.49816885
2017-06-23 16:00:00,"beehive_54620",61678,55.01031,-1.62681,45.261057277,32.439560863,NA,37.5366838,338,18.901099255
2017-06-23 16:00:00,"beehive_54630",61474,55.007339,-1.642851,17.670077971,35.501831941,414,38.86514852,261,19.062271417
2017-06-23 17:00:00,"beehive_54620",61604,55.01031,-1.62681,45.348275328,32.036630458,NA,41.18996178,344,17.69230804
2017-06-23 17:00:00,"beehive_54630",61220,55.007339,-1.642851,17.676093009,35.582418022,375,34.94013912,251,18.014652364
2017-06-23 18:00:00,"beehive_54620",61579,55.01031,-1.62681,45.393388113,31.956044377,NA,43.90727598,273,16.644688987
2017-06-23 18:00:00,"beehive_54630",59832,55.007339,-1.642851,17.679100528,35.501831941,353,37.35552952,253,16.88644723
2017-06-23 19:00:00,"beehive_54620",61535,55.01031,-1.62681,45.37233548,30.586081,NA,46.4434359,214,15.677656015
2017-06-23 19:00:00,"beehive_54630",59579,55.007339,-1.642851,17.70316068,35.501831941,314,38.50283996,216,15.838828177
2017-06-23 20:00:00,"beehive_54620",61609,55.01031,-1.62681,45.321207657,30.021978433,NA,48.49651774,234,15.435897772
2017-06-23 20:00:00,"beehive_54630",53380,55.007339,-1.642851,17.70316068,35.42124586,302,42.42784936,184,15.435897772
2017-06-23 21:00:00,"beehive_54620",60824,55.01031,-1.62681,45.324215176,30.183150595,NA,47.28882254,220,15.032967367
2017-06-23 21:00:00,"beehive_54630",53313,55.007339,-1.642851,17.700153161,35.582418022,283,39.71053516,179,14.871795205
2017-06-23 22:00:00,"beehive_54620",52936,55.01031,-1.62681,45.255042239,30.263736676,NA,48.16440156,117,14.710623043
2017-06-23 22:00:00,"beehive_54630",50542,55.007339,-1.642851,17.694138123,35.582418022,227,41.49188558,145,14.388278719
2017-06-23 23:00:00,"beehive_54620",51267,55.01031,-1.62681,45.206921935,30.747253162,NA,48.37574822,125,14.4688648
2017-06-23 23:00:00,"beehive_54630",45867,55.007339,-1.642851,17.700153161,35.501831941,162,44.20919978,134,14.227106557
2017-06-24 00:00:00,"beehive_54620",48430,55.01031,-1.62681,45.25203472,31.714286134,NA,50.27786816,103,13.66300399
2017-06-24 00:00:00,"beehive_54630",44145,55.007339,-1.642851,17.691130604,35.501831941,165,42.09573318,148,13.66300399
2017-06-24 01:00:00,"beehive_54620",38988,55.01031,-1.62681,45.170831707,30.989011405,NA,50.48921482,96,12.776557099
2017-06-24 01:00:00,"beehive_54630",43663,55.007339,-1.642851,17.679100528,35.501831941,179,45.56785688,129,12.534798856
2017-06-24 02:00:00,"beehive_54620",45265,55.01031,-1.62681,45.16180915,30.827839243,NA,51.21383194,97,11.728938046
